Event,T (GeV),g∗s
Annihilation of tt̄ quarks,173.3,106.75
Annihilation of Higgs boson,125.6,96.25
Annihilation of Z0 boson,91.2,95.25
Annihilation of W+W− bosons,80.4,92.25
Annihilation of bb̄ quarks,4.19,86.25
Annihilation of τ+τ− leptons,1.777,75.75
Annihilation of cc̄ quarks,1.29,72.25
QCD transition†,0.214,61.75
Annihilation of π+π− mesons,0.1396,17.25
Annihilation of π0 mesons,0.135,15.25
Annihilation of μ+μ− leptons,0.1057,10.75
Neutrino decoupling,8.00E-04,7.409
Annihilation of e+e− leptons,5.11E-04,3.909
